192. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: fafccfef2d4358585ffbc1eb675351dac6d8b162
193. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ddc9c6db72cb395791fb4d741cfb2124c24bf517
194. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b3d68b161609bfd1b8462a35d5a94db8fa3fa089
195. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 315d00386aa2da40b5246baf3f0c40a52e983b1d
196. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: bfc56a139a4b13994fd9c79bc2da74d5ec1fa672
197. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8ef7e8a6c480ddcb34cf588f1ad49075c80994d3
198. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7c4bc4713e9128df101c3591b80c40abaff7507a
199. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6bc923d139e7e19a3857eaa0ddc187aec3603700
200. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 23a0b43a071d48e7c62b17f14fb23a1f724f17ef
201. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6f4edc613b63f28c850b4f9905296d84cbac151e
202. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0c3ca71a0e160c764fb8c2e93e389488c1a2dcef
203. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4d9937924abd72a1f96e636365f01e985300098d
204. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 357189b22ef5571a9ced6f297cc0227f60a6dee2
205. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 51550177e20516689397665f155b6c819f119177
206. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 64ad818112ac18295aa27615a792684e016aced1
207. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: c474234875d6f8bb6aabc67828d2c9701f0a4858
208. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: dbd5763a97ce749a6366fc7fe38a55f6cf2d6816
209. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: ec37de455f2fc84428d8dbdcf7d964c2125f7fe0
210. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 306e49e262bfe43dc9c74a811c3891b4c43a1b25
